id,caseNumber,originalCaseNumber,agencyId,reportDate,offenseCode1,offenseCode2,offenseCode3,offenseCode4,offenseCode5,offenseCode6,offenseDescription1,offenseDescription2,offenseDescription3,offenseDescription4,offenseDescription5,offenseDescription6,incidentNumber,place,city,occurrence1Date,occurrence1Time,disposition,beat,approvalDate,approved,xCoord,yCoord,blockNumber,street,coordCheck,uploadDate,crimeType,crimeClassification,titleBackgroundColor,iconUrl
4257859,26-00607,12600607,914,2026-02-13T00:00:00,11377(A) HS,11364(A) HS,978.5 PC,,,,Possess controlled substance (M),Possess unlawful paraphernalia (M),Bench warrant/failure to appear on misdemeanor charge (M),,,,202602130030,HUNT BOYER SUBSTATION,Davis,2026-02-13T00:00:00,801,A,2,2026-02-16T00:00:00,True,-121.741073608398,38.5430908203125,600.0,2ND ST,Y,2026-02-23T03:45:02.317,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4257658,26-00609,12600609,914,2026-02-13T00:00:00,487(A) PC,3056 PC,666.1(A)(1) PC,,,,Grand theft:money/labor/property - Shoplifting (F),Violation parole:felony (F),Petty theft w/2 or more priors - Shoplifting (F),,,,202602130035,SAFEWAY SOUTH,Davis,2026-02-13T00:00:00,0,A,4,2026-02-14T00:00:00,True,-121.724716186523,38.5400352478027,2100.0,COWELL BL,Y,2026-02-23T11:15:01.7,Larceny/Theft,Felony,#752100,red\PinNeedle.svg
4258005,26-00610,12600610,914,2026-02-13T00:00:00,490.5(A) PC,242 PC,,,,,Petty theft:retail merchandise/etc (M),Battery on person - Simple (M),,,,,202602130066,NUGGET MARKET,Davis,2026-02-13T00:00:00,1203,A,2,2026-02-15T00:00:00,True,-121.733100891113,38.5609703063965,1400.0,E COVELL BL,Y,2026-02-19T16:25:02.873,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
4258006,26-00614,12600614,914,2026-02-13T00:00:00,602(M) PC,,,,,,Trespass:occupy property without consent (M),,,,,,202602130099,CLUBSIDE APARTMENTS,Davis,2026-02-13T00:00:00,1546,A,1,2026-02-15T00:00:00,True,-121.787208557129,38.5521392822266,1000.0,LAKE BL,Y,2026-02-23T15:20:01.663,Trespassing,Misdemeanor,#752100,red\PinNeedle.svg
4258004,26-00621,12600621,914,2026-02-14T00:00:00,242 PC,,,,,,Battery on person - Simple (M),,,,,,202602140011,,Davis,2026-02-14T00:00:00,103,A,2,2026-02-15T00:00:00,True,-121.740394592285,38.5516891479492,,H ST/E 8TH ST,Y,2026-02-23T11:15:01.7,Assault,Misdemeanor,#752100,red\PinNeedle.svg
4258003,26-00622,12600622,914,2026-02-14T00:00:00,11364(A) HS,,,,,,Possess unlawful paraphernalia (M),,,,,,202602140038,,Davis,2026-02-14T00:00:00,842,A,1,2026-02-15T00:00:00,True,-121.770584106445,38.5465049743652,,RUSSELL BL/ARTHUR ST,Y,2026-02-23T12:15:01.7,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4258373,26-00633,12600633,914,2026-02-15T00:00:00,261(A)(2) PC,,,,,,Rape by force/fear/etc - Rape (F),,,,,,202602150057,,Davis,2026-02-14T00:00:00,0,,1,,True,-121.77513885498,38.5473327636719,600.0,EISENHOWER ST,Y,2026-02-23T11:15:01.7,Sex Offenses-Forcible,Felony,#752100,red\PinNeedle.svg
4265982,26-00635,12600635,914,2026-02-15T00:00:00,978.5 PC,,,,,,Bench warrant/failure to appear on misdemeanor charge (M),,,,,,202602150068,AMTRAK,Davis,2026-02-15T00:00:00,1457,,2,2026-02-15T00:00:00,True,-121.73870086669922,38.54349136352539,800.0,2ND ST,Y,2026-02-23T12:15:01.7,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4258189,26-00636,12600636,914,2026-02-15T00:00:00,11377(A) HS,11364(A) HS,,,,,Possess controlled substance (M),Possess unlawful paraphernalia (M),,,,,202602150075,,Davis,2026-02-15T00:00:00,1534,A,2,2026-02-16T00:00:00,True,-121.740142822266,38.5440483093262,,F ST/3RD ST,Y,2026-02-20T12:20:02.1,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4265983,26-00639,12600639,914,2026-02-15T00:00:00,978.5 PC,978.5 PC,,,,,Bench warrant/failure to appear on felony charge (F),Bench warrant/failure to appear on misdemeanor charge (M),,,,,202602150092,PRISONER TRANSPORT,Davis,2026-02-15T00:00:00,1950,A,1,2026-02-16T00:00:00,True,-121.7405167,38.5449065,,PRISONER PU/DAVIS FD PD,Y,2026-02-23T12:15:01.7,All Other Offenses,Felony,#752100,red\PinNeedle.svg
